Ref,Val,Package,PosX,PosY,Rot,Side
"Q18","NDC7002N","SOT-23-6",320.375000,-128.377500,-90.000000,top
"Q19","DMN10H220L","SOT-23",339.140000,-270.812500,-90.000000,top
"Q20","DMN10H220L","SOT-23",252.635000,-128.530000,90.000000,top
"Q21","RD3P130S","TO-252-2",337.340000,-281.595000,-90.000000,top
"Q22","RD3P130S","TO-252-2",254.435000,-117.815000,90.000000,top
"Q23","IRF9Z24S","TO-263-2",265.945000,-288.420000,-90.000000,top
"Q24","IRF9Z24S","TO-263-2",326.570000,-110.990000,90.000000,top
"Q25","DMN10H220L","SOT-23",364.690000,-128.597500,90.000000,top
"Q27","RD3P130S","TO-252-2",366.490000,-117.815000,90.000000,top
"Q30","NDC7002N","SOT-23-6",414.575000,-128.205000,-90.000000,top
"Q31","DMN10H220L","SOT-23",346.225000,-128.597500,90.000000,top
"Q33","RD3P130S","TO-252-2",348.025000,-117.815000,90.000000,top
"Q36","IRF9Z24S","TO-263-2",420.765000,-110.990000,90.000000,top
"Q37","MMBT3904","SOT-23",226.867500,-260.312500,-90.000000,top
"Q38","MMBT3904","SOT-23",245.367500,-260.437500,-90.000000,top
"Q39","MMBT3904","SOT-23",178.932500,-138.812500,90.000000,top
"Q40","MMBT3904","SOT-23",160.432500,-138.937500,90.000000,top
"Q41","MMBT3904","SOT-23",271.822500,-138.312500,90.000000,top
"Q42","MMBT3904","SOT-23",253.322500,-138.437500,90.000000,top
"Q43","MMBT3904","SOT-23",365.212500,-138.312500,90.000000,top
"Q44","MMBT3904","SOT-23",346.712500,-138.437500,90.000000,top
"Q45","MMBT3904","SOT-23",320.367500,-260.812500,-90.000000,top
"Q46","MMBT3904","SOT-23",338.867500,-260.937500,-90.000000,top
"R1","68K","R_0603_1608Metric",240.360000,-292.510000,90.000000,top
"R2","10K","R_0603_1608Metric",240.360000,-289.270000,90.000000,top
"R3","68K","R_0603_1608Metric",164.675000,-106.900000,-90.000000,top
"R4","10K","R_0603_1608Metric",164.675000,-110.145000,-90.000000,top
"R5","5.1K","R_0603_1608Metric",422.385000,-202.225000,-90.000000,top
"R6","5.1K","R_0603_1608Metric",422.385000,-197.180000,90.000000,top
"R7","68K","R_0603_1608Metric",235.395000,-292.510000,90.000000,top
"R8","10K","R_0603_1608Metric",235.395000,-289.270000,90.000000,top
"R9","68K","R_0603_1608Metric",169.550000,-106.900000,-90.000000,top
"R10","10K","R_0603_1608Metric",169.550000,-110.145000,-90.000000,top
"R11","10K","R_0603_1608Metric",186.220000,-248.475000,90.000000,top
"R12","150","R_0603_1608Metric",201.000000,-105.825000,90.000000,top
"R13","150","R_0603_1608Metric",207.000000,-293.000000,-90.000000,top
"R14","68K","R_0603_1608Metric",230.470000,-292.510000,90.000000,top
"R15","10K","R_0603_1608Metric",230.470000,-289.270000,90.000000,top
"R16","68K","R_0603_1608Metric",174.465000,-106.900000,-90.000000,top
"R17","10K","R_0603_1608Metric",174.465000,-110.145000,-90.000000,top
"R18","10K","R_0603_1608Metric",188.120000,-248.475000,90.000000,top
"R19","10K","R_0603_1608Metric",215.145000,-150.940000,-90.000000,top
"R20","10K","R_0603_1608Metric",190.060000,-248.475000,-90.000000,top
"R21","150","R_0603_1608Metric",209.000000,-105.825000,90.000000,top
"R22","10K","R_0603_1608Metric",217.045000,-150.940000,-90.000000,top
"R23","150","R_0603_1608Metric",199.000000,-293.000000,-90.000000,top
"R24","1K","R_0603_1608Metric",189.980000,-273.250000,90.000000,top
"R25","10K","R_0603_1608Metric",218.985000,-150.940000,90.000000,top
"R26","1K","R_0603_1608Metric",215.165000,-126.150000,-90.000000,top
"R27","150","R_0603_1608Metric",217.000000,-105.825000,90.000000,top
"R28","150","R_0603_1608Metric",191.000000,-293.000000,-90.000000,top
"R29","68K","R_0603_1608Metric",225.595000,-292.510000,90.000000,top
"R30","10K","R_0603_1608Metric",225.595000,-289.270000,90.000000,top
"R31","68K","R_0603_1608Metric",179.450000,-106.900000,-90.000000,top
"R32","10K","R_0603_1608Metric",179.450000,-110.145000,-90.000000,top
"R33","10K","R_0603_1608Metric",199.865000,-239.780000,-90.000000,top
"R34","10K","R_0603_1608Metric",204.940000,-239.790000,90.000000,top
"R35","10K","R_0603_1608Metric",205.135000,-159.645000,90.000000,top
"R36","10K","R_0603_1608Metric",200.055000,-159.645000,-90.000000,top
"R37","1K","R_0603_1608Metric",226.845000,-257.355000,0.000000,top
"R38","1K","R_0603_1608Metric",178.720000,-141.995000,180.000000,top
"R39","16K","R_0603_1608Metric",173.110000,-269.675000,0.000000,top
"R40","16K","R_0603_1608Metric",232.445000,-129.630000,180.000000,top
"R41","3.3K","R_0603_1608Metric",227.610000,-264.110000,0.000000,top
"R42","150","R_0603_1608Metric",227.610000,-265.925000,180.000000,top
"R43","3.3K","R_0603_1608Metric",177.970000,-135.250000,180.000000,top
"R44","150","R_0603_1608Metric",177.970000,-133.445000,0.000000,top
"R45","100K","R_0603_1608Metric",227.610000,-267.735000,0.000000,top
"R46","100K","R_0603_1608Metric",177.970000,-131.595000,180.000000,top
"R47","10K","R_0603_1608Metric",227.610000,-274.000000,180.000000,top
"R48","10K","R_0603_1608Metric",177.960000,-125.495000,0.000000,top
"R49","5.1K","R_0603_1608Metric",344.810000,-197.485000,-90.000000,top
"R50","100","R_0603_1608Metric",220.345000,-271.250000,90.000000,top
"R51","100","R_0603_1608Metric",185.225000,-128.230000,-90.000000,top
"R52","100","R_0603_1608Metric",174.385000,-272.845000,-90.000000,top
"R53","100","R_0603_1608Metric",231.170000,-126.480000,90.000000,top
"R54","5.1K","R_0603_1608Metric",344.815000,-194.030000,90.000000,top
"R55","10K","R_0603_1608Metric",160.850000,-272.845000,-90.000000,top
"R56","6.2K","R_0603_1608Metric",177.480000,-267.730000,0.000000,top
"R57","10K","R_0603_1608Metric",244.705000,-126.480000,90.000000,top
"R58","6.2K","R_0603_1608Metric",228.085000,-131.570000,180.000000,top
"R59","249","R_0603_1608Metric",162.875000,-272.845000,-90.000000,top
"R60","1K","R_0603_1608Metric",245.295000,-257.355000,0.000000,top
"R61","249","R_0603_1608Metric",242.680000,-126.480000,90.000000,top
"R62","1K","R_0603_1608Metric",160.290000,-142.085000,180.000000,top
"R63","3.3K","R_0603_1608Metric",244.095000,-264.110000,180.000000,top
"R64","150","R_0603_1608Metric",246.095000,-265.925000,180.000000,top
"R65","100K","R_0603_1608Metric",246.095000,-267.735000,0.000000,top
"R66","3.3K","R_0603_1608Metric",161.490000,-135.335000,0.000000,top
"R67","150","R_0603_1608Metric",159.490000,-133.540000,0.000000,top
"R68","100K","R_0603_1608Metric",159.485000,-131.735000,180.000000,top
"R69","10K","R_0603_1608Metric",246.095000,-274.000000,180.000000,top
"R70","100","R_0603_1608Metric",164.170000,-275.540000,0.000000,top
"R71","100","R_0603_1608Metric",241.385000,-123.805000,180.000000,top
"R72","10K","R_0603_1608Metric",159.485000,-125.495000,0.000000,top
"R73","100","R_0603_1608Metric",238.795000,-271.250000,90.000000,top
"R74","22.1","R_0603_1608Metric",178.400000,-293.390000,-90.000000,top
"R75","22.1","R_0603_1608Metric",227.130000,-106.020000,90.000000,top
"R76","100","R_0603_1608Metric",166.790000,-128.235000,-90.000000,top
"R77","68K","R_0603_1608Metric",258.730000,-106.920000,-90.000000,top
"R78","10K","R_0603_1608Metric",258.730000,-110.165000,-90.000000,top
"R79","68K","R_0603_1608Metric",333.025000,-292.570000,90.000000,top
"R80","10K","R_0603_1608Metric",333.025000,-289.265000,90.000000,top
"R81","68K","R_0603_1608Metric",263.695000,-106.920000,-90.000000,top
"R82","10K","R_0603_1608Metric",263.695000,-110.165000,-90.000000,top
"R83","68K","R_0603_1608Metric",328.060000,-292.570000,90.000000,top
"R84","10K","R_0603_1608Metric",328.060000,-289.265000,90.000000,top
"R85","10K","R_0603_1608Metric",312.125000,-150.920000,-90.000000,top
"R86","150","R_0603_1608Metric",292.000000,-105.825000,90.000000,top
"R87","150","R_0603_1608Metric",301.000000,-293.000000,-90.000000,top
"R88","10K","R_0603_1608Metric",308.385000,-150.920000,-90.000000,top
"R89","68K","R_0603_1608Metric",268.625000,-106.920000,-90.000000,top
"R90","10K","R_0603_1608Metric",268.625000,-110.165000,-90.000000,top
"R91","10K","R_0603_1608Metric",281.510000,-248.470000,90.000000,top
"R92","68K","R_0603_1608Metric",323.130000,-292.570000,90.000000,top
"R93","10K","R_0603_1608Metric",323.130000,-289.265000,90.000000,top
"R94","10K","R_0603_1608Metric",310.235000,-150.920000,90.000000,top
"R95","10K","R_0603_1608Metric",283.445000,-248.470000,-90.000000,top
"R96","150","R_0603_1608Metric",300.000000,-105.825000,90.000000,top
"R97","150","R_0603_1608Metric",293.000000,-293.000000,-90.000000,top
"R98","10K","R_0603_1608Metric",279.610000,-248.470000,-90.000000,top
"R99","1K","R_0603_1608Metric",308.347500,-126.150000,-90.000000,top
"R100","1K","R_0603_1608Metric",283.455000,-273.260000,90.000000,top
"R101","150","R_0603_1608Metric",308.000000,-105.825000,90.000000,top
"R102","150","R_0603_1608Metric",285.000000,-293.000000,-90.000000,top
"R103","68K","R_0603_1608Metric",273.495000,-106.920000,-90.000000,top
"R104","10K","R_0603_1608Metric",273.495000,-110.165000,-90.000000,top
"R105","68K","R_0603_1608Metric",318.260000,-292.570000,90.000000,top
"R106","10K","R_0603_1608Metric",318.260000,-289.265000,90.000000,top
"R107","10K","R_0603_1608Metric",298.555000,-159.645000,90.000000,top
"R108","10K","R_0603_1608Metric",293.485000,-159.645000,-90.000000,top
"R109","10K","R_0603_1608Metric",293.305000,-239.790000,-90.000000,top
"R110","10K","R_0603_1608Metric",298.395000,-239.790000,90.000000,top
"R111","1K","R_0603_1608Metric",320.620000,-257.855000,0.000000,top
"R112","16K","R_0603_1608Metric",267.565000,-269.715000,0.000000,top
"R113","1K","R_0603_1608Metric",271.635000,-141.460000,180.000000,top
"R114","16K","R_0603_1608Metric",324.955000,-129.700000,180.000000,top
"R115","3.3K","R_0603_1608Metric",320.885000,-264.110000,0.000000,top
"R116","150","R_0603_1608Metric",320.885000,-265.925000,180.000000,top
"R117","100K","R_0603_1608Metric",320.885000,-267.735000,0.000000,top
"R118","3.3K","R_0603_1608Metric",270.900000,-135.210000,180.000000,top
"R119","150","R_0603_1608Metric",270.900000,-133.400000,0.000000,top
"R120","100K","R_0603_1608Metric",270.900000,-131.570000,180.000000,top
"R121","10K","R_0603_1608Metric",320.885000,-274.000000,180.000000,top
"R122","10K","R_0603_1608Metric",270.890000,-125.435000,0.000000,top
"R123","100","R_0603_1608Metric",313.620000,-271.250000,90.000000,top
"R124","100","R_0603_1608Metric",278.155000,-128.095000,-90.000000,top
"R125","100","R_0603_1608Metric",268.840000,-272.880000,-90.000000,top
"R126","100","R_0603_1608Metric",323.680000,-126.585000,90.000000,top
"R127","10K","R_0603_1608Metric",255.305000,-272.880000,-90.000000,top
"R128","6.2K","R_0603_1608Metric",271.935000,-267.790000,0.000000,top
"R129","10K","R_0603_1608Metric",337.215000,-126.530000,90.000000,top
"R130","6.2K","R_0603_1608Metric",320.595000,-131.590000,180.000000,top
"R131","249","R_0603_1608Metric",257.330000,-272.880000,-90.000000,top
"R132","249","R_0603_1608Metric",335.190000,-126.555000,90.000000,top
"R133","1K","R_0603_1608Metric",339.060000,-257.855000,0.000000,top
"R134","1K","R_0603_1608Metric",253.220000,-141.460000,180.000000,top
